Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-76399,014721SHREE SWAMINARAYAN HOSPITAL,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-1.3292634,36.7981964,Swaminarayan Hospital,Success,
CN-76888,019158LITTLE SISTERS OF ST.JOSEPH OLESENTU MISSION HOSPITAL,NAROK,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.257270424837,35.575800972424,Narok,Success,
CN-76923,006755NARIOKOTOME DISPENSARY,TURKANA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,3.186636109974,35.449603095023,Turkana,Success,
CN-77098,000427DOM COTTOLENGO HEALTH CENTRE - MUKOTHIMA,THARAKA-NITHI,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-0.206516213429,37.868692128983,Tharaka-Nithi,Success,
CN-77153,001653OUR LADY OF LOURDES MWEA HOSPITAL (SATELLITE CLINIC),EMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.5379964,37.4543311,Embu,Success,
CN-77197,015321VERNA HEALTH CENTRE,MIGORI,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.1654376,34.6090837,Health Centre,Success,
CN-77222,001683FULL GOSPEL CHURCHES OF KENYA - MOLO MEDICAL CENTRE,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.2806559,36.0794189,Nakuru,Success,
CN-77485,000412HOLY FAMILY DISPENSARY OL LESSOS,NANDI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,0.2,35.26667,"Lessos, Nandi",Success,
CN-77541,000201ST. MARYS MISSION HOSPITAL,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 5,-1.323434,36.774403,Saint Marys Mission Hospital Nairobi,Success,
CN-77865,002422ST. ANNE\\'S NYANGOMA HEALTH CENTRE,SIAYA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.06564696176,34.248353736491,Siaya,Success,
CN-77916,002771PCEA PIPELINE CARE CLINIC,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.2857857,36.8200253,Nairobi,Success,
CN-78167,004016DANIEL COMBONI HEALTH CENTRE,MACHAKOS,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-1.279605613208,37.413530961083,Machakos,Success,
CN-78430,001095MUTITO CATHOLIC HEALTH CENTRE,KITUI,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-1.493161090519,38.407478986946,Kitui,Success,
CN-78597,000740KAGUMO CATHOLIC LIFE GIVING CENTRE,KIRINYAGA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.525012949373,37.320744609382,Kirinyaga,Success,
CN-78654,002761MBUGONI HEALTH CENTER,MOMBASA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-4.0219743,39.6858526,Health Centre,Success,
CN-78853,002061TAYYIBA MEDICAL CENTRE,KISUMU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.173053648767,34.839859182104,Kisumu,Success,
