Application Number,Facility Name,County,Facility Type,Keph Level
CN-77278,BRISTOL PARK NURSING HOME -UTAWALA,NAIROBI,PRIVATE,LEVEL 3B
CN-77282,ELWAK DAWAHILL MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-77291,KABARNET FAITH CLINIC,BARINGO,PRIVATE,LEVEL 2
CN-77304,MIKULINZI NURSING HOME,NAIROBI,PRIVATE,LEVEL 4
CN-77317,JAWIM RADIANT CLINIC,MURANGA,PRIVATE,LEVEL 2
CN-77397,TUDOR HEALTHCARE-MAZERAS,KWALE,PRIVATE,LEVEL 2
CN-77467,ROYAL MEDICAL HOSPITAL AND MATERNITY HOME LIMITED-DOCTORS PLAZA,MIGORI,PRIVATE,LEVEL 3A
CN-77525,ST.MARKS ZILIPAH MEDICAL CENTRE KAKAMEGA,KAKAMEGA,PRIVATE,LEVEL 3A
CN-77528,IKUTHA FAITH NURSING HOME LTD,KITUI,PRIVATE,LEVEL 3A
CN-77530,NAMANGA NURSING HOME LTD,KAJIADO,PRIVATE,LEVEL 4
CN-77545,IMELA AFYA MEDICAL CLINIC,MIGORI,PRIVATE,LEVEL 2
CN-77569,GANGA CFW CLINIC,BUSIA,PRIVATE,LEVEL 2
CN-77575,MERIT MEDLINE HEALTHCARE CENTRE,KIAMBU,PRIVATE,LEVEL 2
CN-77592,SIDAI LONESTAR HEALTHCARE LTD,KAJIADO,PRIVATE,LEVEL 3A
CN-77596,MASABA HOSPITAL LTD MASENO,KISUMU,PRIVATE,LEVEL 4
CN-77616,LIFEWAY HOUSE MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 3A
CN-77628,ALMOND NURSING HOME,KITUI,PRIVATE,LEVEL 3B
CN-77631,CHASHLEEDAH ANNEX MEDICAL CENTER,NYAMIRA,PRIVATE,LEVEL 3B
CN-77659,MINARET HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-77665,SERENITY HOMES REHABILITATION AND COUNSELLING CENTER LIMITED,EMBU,PRIVATE,LEVEL 3A
CN-77677,SIHA MEDICAL HOME LIMITED,TANA RIVER,PRIVATE,LEVEL 4
CN-77766,THE MANDERA HOSPITAL LIMITED,MANDERA,PRIVATE,LEVEL 4
CN-77904,ST. TRESA\\'S OLK MEDICAL CLINIC LTD,NAKURU,PRIVATE,LEVEL 3A
CN-77905,DARUSALAAM HOSPITAL,GARISSA,PRIVATE,LEVEL 4
CN-77987,ULTRAMED HEALTHCARE LIMITED - UWANJA,KILIFI,PRIVATE,LEVEL 2
CN-78006,FINA NURSING HOME,KAKAMEGA,PRIVATE,LEVEL 3B
CN-78073,INTERNATIONAL OPTICA KILIFI,MOMBASA,PRIVATE,LEVEL 2
CN-78085,SILVAD CALVARY HILL SPECIALIST HOSPITAL LTD,KAJIADO,PRIVATE,LEVEL 5
CN-78115,NAROK COTTAGE HOSPITAL,NAROK,PRIVATE,LEVEL 4
CN-78156,LILYMED CLINICAL SERVICES KASARANI,NAKURU,PRIVATE,LEVEL 2
CN-78193,LIGHTHOUSE FOR CHRIST EYE CENTER-VOI BRANCH,TAITA-TAVETA,PRIVATE,LEVEL 2
CN-78207,RIGOMA MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3A
CN-78255,RODICANAAN MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3B
CN-78260,MEDSPAR MEDICAL CENTRE,BUSIA,PRIVATE,LEVEL 2
CN-78264,EQUITY AFIA KABARNET MEDICAL CENTRE,BARINGO,PRIVATE,LEVEL 3A
CN-78386,CENTRAL MEMORIAL HOSPITAL LTD,KIAMBU,PRIVATE,LEVEL 4
CN-78401,MACHAKOS IMAGING CENTRE LTD-MWINGI,KITUI,PRIVATE,LEVEL 4B
CN-78405,CONNECTION HEALTH SERVICES LIMITED - MALABA TOWN,BUSIA,PRIVATE,LEVEL 3A
CN-78497,MATANGWE COMMUNITY HEALTH & DEV PROGRAMME BONDO,SIAYA,PRIVATE,LEVEL 3A
CN-78505,PARKERRA MEDICAL CLINIC,BARINGO,PRIVATE,LEVEL 2
CN-78558,DIGIRIKANI HEALTHCARE,KILIFI,PRIVATE,LEVEL 2
CN-78589,ABRAR HEALTH SERVICES MANDERA LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-78613,SAVANI NURSING AND MATERNITY CENTRE LIMITED,MOMBASA,PRIVATE,LEVEL 3B
CN-78640,BARNET MEMORIAL MEDICAL CENTRE LIMITED BARWESSA,BARINGO,PRIVATE,LEVEL 3A
CN-78661,FAMILYFIRST MEDICAL CENTRE LIMITED,GARISSA,PRIVATE,LEVEL 4
CN-78682,LAILA MEDICAL CENTRE,TRANS-NZOIA,PRIVATE,LEVEL 2
CN-78777,BEYOND ALL LOVE REHABILITATION CENTRE,NAKURU,PRIVATE,LEVEL 3A
CN-78833,THE MOMBASA HOSPITAL ASSOCIATION,MOMBASA,PRIVATE,LEVEL 4
CN-78862,COMPREHENSIVE PINE MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-78905,SANSIRO HOSPITAL LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-78918,GETENDE NURSING HOME,MIGORI,PRIVATE,LEVEL 3B
CN-78951,BUKUMBURI MEDICAL CLINIC,MIGORI,PRIVATE,LEVEL 3A
CN-78965,ENGINEERING DISPENSARY,KERICHO,PRIVATE,LEVEL 2
CN-78966,HARAY NURSING HOME,MANDERA,PRIVATE,LEVEL 3A
CN-78973,FORTIS DIAGNOSTIC CENTRE & HOSPITAL,MERU,PRIVATE,LEVEL 3B
CN-78982,BLUE WHALE MEDICAL LTD,NAIROBI,PRIVATE,LEVEL 4B
CN-79017,TAWFIQ HOSPITAL,KILIFI,PRIVATE,LEVEL 4
CN-79056,ST.PATRICK HEALTH CARE CENTRE LIMITED,MACHAKOS,PRIVATE,LEVEL 3A
CN-79087,ST. LUKE\\'S UZIMA HOSPITAL,KIAMBU,PRIVATE,LEVEL 3B
CN-79137,BARIO MEDICAL CENTER LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-79141,PRECISE DIAGNOSTIC UPPERHILL,NAIROBI,PRIVATE,LEVEL 3A
CN-79229,RAPHA DIALYSIS AND DIAGNOSTIC CENTRE,UASIN GISHU,PRIVATE,LEVEL 3A
CN-79233,SHAWAAL NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-79241,LEGACY FAMILY HEALTH OPTION,BOMET,PRIVATE,LEVEL 2
CN-79292,KIENGU MATERINITY & NURSING HOME,MERU,PRIVATE,LEVEL 3A
CN-79301,SOBON SERENITY CENTRE-BARINGO LIMITED,BARINGO,PRIVATE,LEVEL 3B
CN-79305,LAKEWOOD MEDICAL CENTRE,KAKAMEGA,PRIVATE,LEVEL 2
CN-79354,ST JOSEPIC UTAWALA COTTAGE HOSPITAL,MACHAKOS,PRIVATE,LEVEL 3A
CN-79360,CYFAR MEDICAL,BUNGOMA,PRIVATE,LEVEL 2
CN-79368,DAWAFRONT PHARMACY AND CLINIC,KISUMU,PRIVATE,LEVEL 3A
CN-79575,CAIRO FAMILY HOSPITAL RUIRU,KIAMBU,PRIVATE,LEVEL 3B
CN-79644,THE CAROL AFANDI MEMORIAL CLINIC,VIHIGA,PRIVATE,LEVEL 3B
CN-79760,CHASHLEEDA MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3B
CN-79790,TRANSMARA COMMUNITY HOSPITAL,NAROK,PRIVATE,LEVEL 3B
CN-79796,MOMBASA LAPAROSCOPCY AND FERTILITY CENTRE LIMITED,MOMBASA,PRIVATE,LEVEL 3B
CN-79822,NAIROBI HIFU MEDICAL SERVICE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-79840,BULLA AFIA MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-79881,CLEARVIEW SPECIALIST MEDICARE,NYAMIRA,PRIVATE,LEVEL 3B
CN-79884,FILYNE CHIMA HOSPITAL LIMITED,KISII,PRIVATE,LEVEL 4
CN-79905,MOLO RIVERSIDE IMAGING AND HOSPITAL LIMITED,NAKURU,PRIVATE,LEVEL 3A
CN-79935,BOSONGO MEDICAL CENTRE,KISII,PRIVATE,LEVEL 5
CN-79940,MARIA MATERNITY AND NURSING HOME,NAIROBI,PRIVATE,LEVEL 3B
CN-79961,RAVINNA HOSPITAL LIMITED,KISII,PRIVATE,LEVEL 3B
CN-80012,KIRINYAGA OPTICALS,KIRINYAGA,PRIVATE,LEVEL 2
CN-80034,PRINCE ALVIN MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 2
CN-80041,IKEREGE LIFECARE MEDICAL CENTRE LTD,MIGORI,PRIVATE,LEVEL 3B
CN-80047,DANABA CARE HOSPITAL LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-80083,THE MATUU HOSPITAL LIMITED,MACHAKOS,PRIVATE,LEVEL 4
CN-80117,AFYA RESEARCH AFRICA-ARAM UBUNTU AFYA MEDICAL CENTRE,SIAYA,PRIVATE,LEVEL 3B
CN-80185,SOSIOT MEDICAL CENTRE-,KERICHO,PRIVATE,LEVEL 3A
CN-80300,ELHACHE MEDICAL CENTRE,MANDERA,PRIVATE,LEVEL 3B
CN-80319,KAGUMO VISION MEDICAL CENTRE ANNEX,KIRINYAGA,PRIVATE,LEVEL 3A
CN-80352,LUTON MEDICAL HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-80370,MADMO MEDICARE AND NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-80382,LALE MEDICAL CENTRE LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-80404,EBRAN NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-80413,SHAFEEN MEDICARE LIMITED,WAJIR,PRIVATE,LEVEL 4
CN-80487,KWA NEEMA MEDICAL SERVICES,BUNGOMA,PRIVATE,LEVEL 2
CN-80494,KEMERA MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3A
CN-80514,MEDPEARL HEALTHCARE SERVICES LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-80537,KIDNEY SOLUTIONS CLINIC,NAKURU,PRIVATE,LEVEL 4
CN-80604,3RD PARK HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4B
CN-80704,OJELE MEMORIAL HOSPITAL,MIGORI,PRIVATE,LEVEL 4
CN-80711,THIKA EYE CENTRE LIMITED,KIAMBU,PRIVATE,LEVEL 2
CN-80732,MOMBASA CANCER CENTRE,MOMBASA,PRIVATE,LEVEL 3B
CN-80911,MULEMI NURSING HOME,NAKURU,PRIVATE,LEVEL 4
CN-80960,RAPHA MEDICAL E.N.T CLINIC - SIAYA,SIAYA,PRIVATE,LEVEL 2
CN-80967,BULLA MPYA NURSING HOME,MANDERA,PRIVATE,LEVEL 4
CN-80992,TOP VALLEY HOSPITAL,BUSIA,PRIVATE,LEVEL 3A
CN-81070,MARUBEL MEDICAL CENTRE ELDORET,UASIN GISHU,PRIVATE,LEVEL 3A
CN-81114,KONGOWEA KARAMA COMMUNITY MEDICAL CENTRE,MOMBASA,PRIVATE,LEVEL 3A
CN-81139,MOGONGA CRESCENT MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3A
CN-81227,UZIMA UHAI HEALTH CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-81241,SHIMBIR MILANO NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-81249,CHWELE FOUNTAIN HOSPITAL LTD,BUNGOMA,PRIVATE,LEVEL 3A
CN-81253,TEDRAYNER MEMORIAL CLINIC LIMITED,HOMA BAY,PRIVATE,LEVEL 2
CN-81311,THE NAIROBI WOMENS HOSPITAL HURLINGHAM,NAIROBI,PRIVATE,LEVEL 5
CN-81324,MILLENNIUM MEDICAL CENTRE ETAGO,KISII,PRIVATE,LEVEL 3B
CN-81356,MOUNT TROPICAL MANAGEMENT MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 3B
CN-81397,KINARA HOSPITAL,NYAMIRA,PRIVATE,LEVEL 4
CN-81404,SANTARA MEDICAL CENTER LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-81410,KIJANAHERI MEDICAL CENTRE - MARERENI,KILIFI,PRIVATE,LEVEL 3A
CN-81423,KINMED HEALTH SERVICES,NAKURU,PRIVATE,LEVEL 2
CN-81444,MARYROSA HEALTHCARE LIMITED,SIAYA,PRIVATE,LEVEL 3A
CN-81451,SISMEXY DIAGNOSTIC AND MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3B
CN-81546,FLAMINGO MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 4
CN-81626,MINTO MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3B
CN-81690,UGUNJA CFW CLINIC,SIAYA,PRIVATE,LEVEL 2
CN-81699,HEALPARK MEDICAL SOLUTIONS,KIAMBU,PRIVATE,LEVEL 3A
CN-81734,THE SAMARIMED CENTRE,HOMA BAY,PRIVATE,LEVEL 3B
CN-81741,NAIROBI RADIOTHERAPY AND CANCER CENTRE - KINDARUMA,NAIROBI,PRIVATE,LEVEL 4B
CN-81743,LEGACY FAMILY HEALTH OPTION MULOT,NAROK,PRIVATE,LEVEL 3A
CN-81747,LADNAN HOSPITAL ELWAK,MANDERA,PRIVATE,LEVEL 4
CN-81851,MATASIA NURSING HOME,KAJIADO,PRIVATE,LEVEL 3B
CN-81854,BRISTOL PARK NURSING HOME,NAIROBI,PRIVATE,LEVEL 3B
CN-81904,CAREGIVERS COMMUNITY HOSPITAL,KAJIADO,PRIVATE,LEVEL 3B
CN-81948,NEW KILIFI WANANCHI MATERNITY &amp; NURSING HOME,KILIFI,PRIVATE,LEVEL 4
CN-81949,NGAMIA HEALTH SERVICES,TANA RIVER,PRIVATE,LEVEL 3B
CN-81951,MOKOWE MEDICAL CENTRE-FAZA,LAMU,PRIVATE,LEVEL 3A
CN-82009,NELEPEK MEDICAL CARE CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-82010,AHADI HEALTH & MATERNITY SERVICES,KIAMBU,PRIVATE,LEVEL 3B
CN-82035,ALEXANDRIA CANCER CENTRE AND PALLIATIVE HOSPITAL LIMITED,NAKURU,PRIVATE,LEVEL 4
CN-82065,KOTIENDE MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-82074,ACORN COMMUNITY HOSPITAL LIMITED,MOMBASA,PRIVATE,LEVEL 3A
CN-82075,VIKAM HOSPITAL MASENO LTD,KISUMU,PRIVATE,LEVEL 4
CN-82158,BLESSED COMMUNITY MEDICAL CLINIC,KAJIADO,PRIVATE,LEVEL 3B
CN-82166,MODESTY MEDICAL CENTRE LTD,KIRINYAGA,PRIVATE,LEVEL 3B
CN-82205,NYANGENA HOSPITAL LTD,KISII,PRIVATE,LEVEL 5
CN-82218,SCION HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-82226,JASON'S HEALTH CARE SERVICES LIMITED,KAJIADO,PRIVATE,LEVEL 3B
CN-82291,MILELE INTEGRATED MEDICAL SERVICES,NAIROBI,PRIVATE,LEVEL 3A
CN-82331,LIVING ROOM INTERNATIONAL NURSING HOME,UASIN GISHU,PRIVATE,LEVEL 3B
CN-82349,MWIRIGIS HEALTHCARE SERVICES,NYERI,PRIVATE,LEVEL 2
CN-82381,AL-BILAL NURSING HOME,MARSABIT,PRIVATE,LEVEL 3B
CN-82431,CHERANGANI EYE AND OPTICAL SERVICES,TRANS-NZOIA,PRIVATE,LEVEL 2
CN-82518,SILVERCREST MED CARE LIMITED,KIRINYAGA,PRIVATE,LEVEL 4
CN-82585,TANAPOINT MEDICAL CENTRE,TANA RIVER,PRIVATE,LEVEL 3A
CN-82634,GARISSANORTH NURSING HOME,GARISSA,PRIVATE,LEVEL 3A
CN-82649,SOUTHRIFT HOSPITAL LIMITED,KERICHO,PRIVATE,LEVEL 5
CN-82765,THE ROYAL GUARDIAN HEALTHCARE,KIAMBU,PRIVATE,LEVEL 2
CN-82782,AZURIE CHILDREN\\'S MEDICAL CENTRE,MACHAKOS,PRIVATE,LEVEL 3A
CN-82902,JOCHAM HOSPITAL LTD,MOMBASA,PRIVATE,LEVEL 4
CN-82913,AMANI COMUNITY HEALTH SERVICES LIMITED,KISII,PRIVATE,LEVEL 2
CN-82946,JAMA ORTHOCARE CENTRE,MERU,PRIVATE,LEVEL 3A
CN-82979,PROMISE CFW CLINIC,EMBU,PRIVATE,LEVEL 2
CN-83001,MUSTAFA NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-83044,KOMAN MEDICAL CENTRE LIMITED,MURANGA,PRIVATE,LEVEL 3B
CN-83053,SHAAFI NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3B
CN-83081,MILIMANI LUXUM HOSPITAL LIMITED,MERU,PRIVATE,LEVEL 3B
CN-83138,AVENUE HOSPITAL- KISUMU,KISUMU,PRIVATE,LEVEL 4
CN-83166,MELONI MEDICAL CLINIC,BUNGOMA,PRIVATE,LEVEL 2
CN-83203,LISTAZ CARE MEDICAL CLINIC,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-83378,SANAR MEDICARE CLINIC,KILIFI,PRIVATE,LEVEL 2
CN-83409,MWEA CFW CLINIC,KIRINYAGA,PRIVATE,LEVEL 2
CN-83425,SURGICAL SOLUTIONS HOSPITAL LIMITED,KAKAMEGA,PRIVATE,LEVEL 3B
CN-83427,JAYSTEL MEDICAL CENTER,KIRINYAGA,PRIVATE,LEVEL 2
CN-83537,JOSIAH COMMUNITY MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3A
CN-83600,MEDICROSS LIMITED MUMIAS,KAKAMEGA,PRIVATE,LEVEL 2
CN-83624,EQUITY AFIA-LIMURU,KIAMBU,PRIVATE,LEVEL 3B
CN-83646,MARY IMMACULATE COTTAGE HOSPITAL,MOMBASA,PRIVATE,LEVEL 3B
CN-83671,MAMO MEMORIAL HOSPITAL,MIGORI,PRIVATE,LEVEL 3B
CN-83672,KAVUTIRI CFW CLINIC,EMBU,PRIVATE,LEVEL 2
CN-83701,ST.JENNIFER MEDICAL CENTRE,KISUMU,PRIVATE,LEVEL 3B
CN-83712,OLJABET HOSPITAL,LAIKIPIA,PRIVATE,LEVEL 4
CN-83806,BFN HOSPITAL LIMITED,NYAMIRA,PRIVATE,LEVEL 3A
CN-83824,GARISSA NURSING HOME,GARISSA,PRIVATE,LEVEL 4
CN-83835,EUROCITY MEDICAL CENTRE SINDO,HOMA BAY,PRIVATE,LEVEL 3A
CN-83873,ROYAL ST MONICAH MEDICAL CENTRE LIMITED,LAIKIPIA,PRIVATE,LEVEL 3A
CN-83917,THE GITUAMBA HOSPITAL,KIAMBU,PRIVATE,LEVEL 2
CN-83942,ANNEX LOC MEDICARE,LAIKIPIA,PRIVATE,LEVEL 3A
CN-84068,JETTY HEALTHCARE HOSPITAL,TRANS-NZOIA,PRIVATE,LEVEL 3A
CN-84089,RAYCOS HEALTH CENTRE,MOMBASA,PRIVATE,LEVEL 3A
CN-84137,ALLANCE COMMUNITY MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3A
CN-84194,ALPHA MEDICAL CENTRE- KAEWA,MACHAKOS,PRIVATE,LEVEL 3B
CN-84250,THE FORK HOSPITAL KENYA,MACHAKOS,PRIVATE,LEVEL 5
CN-84281,MAGENA VIEWCARE MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3A
CN-84318,COMRADE NURSING HOME,KIRINYAGA,PRIVATE,LEVEL 3B
CN-84355,SAFO NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-84382,ATHI RIVER MEDICAL SERVICES,MACHAKOS,PRIVATE,LEVEL 3B
CN-84410,ANFAL MEDICAL CENTER LIMITED,GARISSA,PRIVATE,LEVEL 3B
CN-84414,THE RAPHAELITES LIMITED,KIAMBU,PRIVATE,LEVEL 3B
CN-84426,ALPHIL MEDICAL CENTRE LIMITED,NAKURU,PRIVATE,LEVEL 2
CN-84431,KOROWE HIGHWAY HOSPITAL,KISUMU,PRIVATE,LEVEL 3B
CN-84454,EQUITY AFIA ROSSLYN RUAKA MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 3B
CN-84464,OSERIAN HEALTH CENTRE,NAKURU,PRIVATE,LEVEL 3A
CN-84480,CARMEL HOSPITAL,WAJIR,PRIVATE,LEVEL 4
CN-84484,FIRENZE NURSING HOME LIMITED,KIAMBU,PRIVATE,LEVEL 4
CN-84494,TUMAINI BRIGHTEN MEDICAL CENTRE,EMBU,PRIVATE,LEVEL 3A
CN-84521,COMPLETE CARE HEALTH SERVICES,KIAMBU,PRIVATE,LEVEL 3B
CN-84529,MANDERA WEST NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 4
CN-84530,IMBO COMMUNITY MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 2
CN-84533,WAYSIDE MEDICAL CLINIC,NAKURU,PRIVATE,LEVEL 3A
CN-84562,KAPEDO MEDICAL CENTRE,TURKANA,PRIVATE,LEVEL 2
CN-84564,DIANI BEACH HOSPITAL - LIKONI,MOMBASA,PRIVATE,LEVEL 4
CN-84574,TANAKA NURSING HOME BUSIA,BUSIA,PRIVATE,LEVEL 4
CN-84599,MUNTASIR NURSING HOME,WAJIR,PRIVATE,LEVEL 4
CN-84610,WELLCARE ORTHOPAEDIC &amp; TRAUMA CENTRE,KIAMBU,PRIVATE,LEVEL 4B
CN-84626,NAMWAYA FAITH MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-84692,ST PETERS ORTHOPEDICS AND SURGICAL SPECIALITY CENTRE LIMITED,KIAMBU,PRIVATE,LEVEL 5
CN-84801,SUNNYBROOK HEALTHCARE CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-84825,BISHOP LAWI MEDICAL CENTRE LTD,MERU,PRIVATE,LEVEL 3B
CN-84849,MOCHENWA ROYAL - SUMMIT HEALTHCARE,NYAMIRA,PRIVATE,LEVEL 2
CN-84895,KERUGOYA FORTIS MEDICAL AND CANCER CENTRE,KIRINYAGA,PRIVATE,LEVEL 4
CN-84904,BLAMARI MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 2
CN-84929,BRIGHTON MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3B
CN-84944,MUTHURE WELLNESS HEALTH SERVICES,KIAMBU,PRIVATE,LEVEL 2
CN-85006,AFYAPOINT MEDICARE LIMITED -ANNEX,KERICHO,PRIVATE,LEVEL 4
CN-85034,NEEMA HOSPITAL LTD,KITUI,PRIVATE,LEVEL 4
CN-85050,DZITSONI MEDICAL CLINIC,KILIFI,PRIVATE,LEVEL 3A
CN-85074,BARAKA HEALTH CENTRE MATHARE,NAIROBI,PRIVATE,LEVEL 3B
CN-85112,ANKARA NURSING HOME,WAJIR,PRIVATE,LEVEL 4
CN-85114,IMANI BRIDGEVALL HOSPITAL,NAIROBI,PRIVATE,LEVEL 3A
CN-85207,CANAAN MEDICAL CLINIC,TURKANA,PRIVATE,LEVEL 2
CN-85240,MAGANDA MEDICAL CENTRE LTD,MOMBASA,PRIVATE,LEVEL 2
CN-85259,ST. JOSEPHS NURSING & MATERNITY HOME,NAKURU,PRIVATE,LEVEL 4
CN-85310,ANSARI MEDICAL CLINIC &amp; LABORATORY,MOMBASA,PRIVATE,LEVEL 4
CN-85317,PARK NICOLLET NURSING HOME,MACHAKOS,PRIVATE,LEVEL 2
CN-85324,LIPTON CENTRAL HOSPITAL-KIMUGU CENTRE,KERICHO,PRIVATE,LEVEL 2
CN-85337,BUNA NURSING HOME,WAJIR,PRIVATE,LEVEL 3B
CN-85383,ST. MICHAEL NURSING HOME,EMBU,PRIVATE,LEVEL 3B
CN-85404,MUQIM NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-85445,PRIMACARE COMMUNITY CENTRE,TRANS-NZOIA,PRIVATE,LEVEL 3A
CN-85458,KABARNET COTTAGE HOSPITAL LIMITED,BARINGO,PRIVATE,LEVEL 4
CN-85479,THE RIVER JORDAN MEDICAL CENTRE LTD,TAITA-TAVETA,PRIVATE,LEVEL 4
CN-85510,FAMILY ACCESS MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 2
CN-85513,JARABO MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 2
CN-85529,JIRANI CARE HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-85552,SAMIA NURSING HOME,WAJIR,PRIVATE,LEVEL 3B
CN-85566,SIPILI HOSPITAL,LAIKIPIA,PRIVATE,LEVEL 3B
CN-85577,NALA MATERNITY &amp; NURSING HOME,KAKAMEGA,PRIVATE,LEVEL 3B
CN-85640,KIRINYAGA TREATMENT CENTRE,KIRINYAGA,PRIVATE,LEVEL 4
CN-85673,ROYAL COMMUNITY CLINIC,MOMBASA,PRIVATE,LEVEL 2
CN-85698,MAMA NURSING HOME KABABU,MIGORI,PRIVATE,LEVEL 3A
CN-85713,CONSOLATA MATHARI TOWN ANNEX,NYERI,PRIVATE,LEVEL 2
CN-85765,DAYOW HOSPITAL LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-85816,KERNAN LIFE HOSPITAL,KIAMBU,PRIVATE,LEVEL 3A
CN-85818,ST JAIRUS HOSPITAL,KISUMU,PRIVATE,LEVEL 4
CN-85823,PYNET HEALTHCARE LIMITED,BUSIA,PRIVATE,LEVEL 3A
CN-85890,MURUDEF COMMUNITY HEALTH CENTRE,KAKAMEGA,PRIVATE,LEVEL 3A
CN-85933,MAROATORA NURSING HOME,MIGORI,PRIVATE,LEVEL 3B
CN-85948,MWINGI MEDICARE CENTRE,KITUI,PRIVATE,LEVEL 3B
CN-85957,THE HOPE MEDICAL CENTRE AWASI,KISUMU,PRIVATE,LEVEL 3B
CN-85958,UMOJA MODERN MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-85966,EAGLE HEALTH AND CLINIC SERVICES RIRUTA BRANCH,NAIROBI,PRIVATE,LEVEL 3B
CN-86047,GINGER HOSPITAL LIMITED,KWALE,PRIVATE,LEVEL 4
CN-86051,MOTHER AND CHILD HOSPITAL,NAIROBI,PRIVATE,LEVEL 4
CN-86075,JAMEEL MEDICAL CENTRE,GARISSA,PRIVATE,LEVEL 3B
CN-86108,OASIS MATERNITY AND NURSING HOME,NYAMIRA,PRIVATE,LEVEL 4
CN-86125,MELCHIZEDEK HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 4
CN-86129,THE RHAMU HOSPITAL,MANDERA,PRIVATE,LEVEL 4
CN-86132,MAMA BIRITA HOSPITAL LIMITED,KISII,PRIVATE,LEVEL 4
CN-86145,LYSON MANYATTA MEDICAL &amp; LABORATORY SERVICES LIMITED,KAKAMEGA,PRIVATE,LEVEL 3B
CN-86187,IVORY HEALTH SOLUTIONS LTD MAMA NGINA ST NAIROBI,NAIROBI,PRIVATE,LEVEL 3B
CN-86236,MEDISICA MEDICAL CLINIC,TURKANA,PRIVATE,LEVEL 2
CN-86243,"SALONNAY MEDICAL, DIAGNOSTIC AND IMAGING CENTER LIMITED",MURANGA,PRIVATE,LEVEL 3A
CN-86277,SPRINGFIELD MEDICAL AND VISION CENTRE,KISII,PRIVATE,LEVEL 2
CN-86294,GARISSA DOCTORS CLINIC LIMITED,GARISSA,PRIVATE,LEVEL 3A
CN-86315,KILOME MNH HOSPITAL,MAKUENI,PRIVATE,LEVEL 4
CN-86322,ACCESS AFYA LTD SINAI,NAIROBI,PRIVATE,LEVEL 2
CN-86361,BLUELIGHT HOSPITAL AND DIAGNOSTIC CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 4
